layer,max-abs,percentile-99.99,percentile-99.9,percentile-99.0
head,1.0,0.9999948740005493,0.9999488592147827,0.9958967566490173
tail,1.8376442193984985,1.2212798595428467,1.0106475353240967,0.7296605706214905
body.16,3.1244587898254395,1.5475414991378784,1.0720818042755127,0.5685608983039856
body.0.conv1,1.473227620124817,1.3646353483200073,1.1965500116348267,0.8880122900009155
body.0.conv2,1.3180687427520752,0.7506935596466064,0.624560534954071,0.4734953045845032
body.1.conv1,1.242957592010498,0.8783022165298462,0.7476297616958618,0.5107515454292297
body.1.conv2,1.5932681560516357,0.6633835434913635,0.4137982428073883,0.2854655981063843
body.2.conv1,1.1912230253219604,0.7505916357040405,0.5484712719917297,0.3561888635158539
body.2.conv2,1.3021117448806763,0.6761343479156494,0.397225558757782,0.18108610808849335
body.3.conv1,1.246294617652893,0.7355044484138489,0.5329785943031311,0.3231894075870514
body.3.conv2,1.7199879884719849,0.7002599239349365,0.42122313380241394,0.18925999104976654
body.4.conv1,1.2955622673034668,0.767519474029541,0.546619176864624,0.3257027268409729
body.4.conv2,1.014886736869812,0.5333494544029236,0.3526034951210022,0.16758519411087036
body.5.conv1,1.3610323667526245,0.791650116443634,0.5572563409805298,0.3202572166919708
body.5.conv2,1.2222468852996826,0.691550076007843,0.3686865568161011,0.17335134744644165
body.6.conv1,1.40147864818573,0.8073260188102722,0.5705088376998901,0.3289042115211487
body.6.conv2,1.5073375701904297,0.7188466191291809,0.40530821681022644,0.17186105251312256
body.7.conv1,1.5145881175994873,0.8343567252159119,0.5868781208992004,0.3381311893463135
body.7.conv2,1.376760721206665,0.6200348734855652,0.3317156136035919,0.16780973970890045
body.8.conv1,1.5544513463974,0.8568715453147888,0.5962876677513123,0.3425174653530121
body.8.conv2,1.5857319831848145,0.7830271124839783,0.36995729804039,0.17936761677265167
body.9.conv1,1.7314622402191162,0.912419319152832,0.6375468373298645,0.3629090487957001
body.9.conv2,1.4081226587295532,0.7167694568634033,0.40053248405456543,0.1840144395828247
body.10.conv1,1.753097414970398,0.9660255312919617,0.6781262755393982,0.38620924949645996
body.10.conv2,1.553895354270935,0.6883550882339478,0.3749864101409912,0.17744000256061554
body.11.conv1,1.91267991065979,1.0086618661880493,0.7100186347961426,0.40004903078079224
body.11.conv2,1.582326889038086,0.7672140002250671,0.3888455927371979,0.18809959292411804
body.12.conv1,2.1235761642456055,1.0710806846618652,0.7513813376426697,0.4205891489982605
body.12.conv2,1.9388868808746338,0.9200037121772766,0.46466967463493347,0.21683377027511597
body.13.conv1,2.3528330326080322,1.1762244701385498,0.8075088262557983,0.4450417757034302
body.13.conv2,2.008028745651245,1.0675958395004272,0.5072326064109802,0.23000425100326538
body.14.conv1,2.5994529724121094,1.3390400409698486,0.8931388854980469,0.48285284638404846
body.14.conv2,2.0695788860321045,0.9556297659873962,0.5333356261253357,0.2473558783531189
body.15.conv1,2.7809338569641113,1.4551470279693604,0.9853485226631165,0.5215103030204773
body.15.conv2,2.5023369789123535,1.1547319889068604,0.6279311180114746,0.26798754930496216
upsampler.0,2.7221601009368896,1.6036425828933716,1.2464077472686768,0.9100023508071899
