epoch,train_loss,val_psnr_db,val_ssim
5,0.100102,24.4933,0.720487
10,0.045493,26.0006,0.746359
15,0.040112,26.2398,0.753598
20,0.036887,26.4350,0.756957
25,0.035930,26.5347,0.759488
30,0.034316,26.6051,0.762265
35,0.033492,26.6102,0.763481
40,0.033642,26.7415,0.768004
45,0.032543,26.7861,0.768941
50,0.033753,26.8229,0.772516
55,0.032211,26.8957,0.775648
60,0.031590,27.0082,0.776776
65,0.031517,26.9953,0.776383
70,0.031330,26.9920,0.780027
75,0.031145,26.9954,0.777148
80,0.030864,27.0989,0.778957
85,0.030519,27.1702,0.782109
90,0.030808,26.9927,0.776899
95,0.031020,27.2148,0.783168
100,0.030518,26.8145,0.786262
105,0.031086,27.2789,0.785065
110,0.030949,27.1821,0.785318
115,0.030595,27.2953,0.787933
120,0.031308,27.2799,0.783036
125,0.031131,27.2791,0.783509
130,0.030447,27.0983,0.787017
135,0.030852,27.3022,0.782762
140,0.030944,27.3398,0.792327
145,0.030479,27.2908,0.788923
150,0.029657,27.3087,0.792059
155,0.030113,27.3404,0.785705
160,0.030050,27.3065,0.786914
165,0.029467,27.3431,0.787261
170,0.029534,27.3914,0.790784
175,0.029753,27.3079,0.786439
180,0.030045,27.3510,0.793632
185,0.029562,27.4231,0.793575
190,0.028888,27.4172,0.788245
195,0.029699,27.3951,0.793195
200,0.028975,27.4386,0.790677
